song,song_id,artist,artist_id,category,genres,audio_ft_danceability,audio_ft_energy,audio_ft_key,audio_ft_loudness,audio_ft_mode,audio_ft_speechiness,audio_ft_acousticness,audio_ft_instrumentalness,audio_ft_liveness,audio_ft_valence,audio_ft_tempo,audio_ft_duration_ms,audio_ft_time_signature
God Is Wasted,3dX9IN7FSVn1fQZotgM0KU,Ragnarok,2NOuABTjilCHH7RNw439Vq,metal,"['pagan', 'symphonic', 'dark', 'norwegian', 'black', 'folk']",0.222,0.993,0.0,-5.64,1.0,0.156,1.79e-06,0.591,0.368,0.0782,141.572,258680.0,4.0
Satan Divine,1NeTQnXaqyE3h5tj3pjpoY,Lord Belial,7gVIcvxZLQ9mKI7k6tXQdq,metal,"['pagan', 'swedish', 'dark', 'melodic', 'black']",0.183,0.873,0.0,-8.134,1.0,0.0747,5.11e-06,0.713,0.108,0.263,152.879,239133.0,4.0
The Pale Mist Hovers Towards the Nightly Shores,0lZFz009jZslzPn0ArTbkl,Carpathian Forest,0sFntmE9T1tiF6G6O6Lm3H,metal,"['pagan', 'symphonic', 'dark', 'metal', 'norwegian', 'black']",0.2,0.976,9.0,-7.5379999999999985,1.0,0.0603,1.39e-05,0.8320000000000001,0.3,0.0678,148.707,175973.0,4.0
Under A Funeral Moon,4kGQ1zZbbVeZVftLCgufsb,Darkthrone,7kWnE981vITXDnAD2cZmCV,metal,"['norwegian', 'black', 'metal', 'blackened']",0.201,0.981,4.0,-9.45,1.0,0.134,0.0103,0.0175,0.392,0.19,144.596,297067.0,4.0
Wolves,3HfDSiJA2Vf0cdvT4dDwzQ,Marduk,2lxB5NTcQXj7GGRR4xAVaH,metal,"['swedish', 'symphonic', 'dark', 'metal', 'black', 'death']",0.0951,0.978,10.0,-13.019,1.0,0.118,0.0008900000000000002,0.14300000000000002,0.145,0.0704,72.289,350053.0,4.0
Into the Crypts of Rays,4xQO8MVtFZOW2KJMBuAB2p,Celtic Frost,4ZISAmHmQUDCpv8xydqeKG,metal,"['deathrash', 'old', 'swiss', 'metal', 'doom', 'black', 'death']",0.146,0.962,11.0,-7.394,0.0,0.0763,1.84e-06,0.8759999999999999,0.59,0.26,169.56099999999995,219173.0,4.0
A Fine Day to Die,1nLF4GpaJe54kjjBVxIBRS,Bathory,6rBvjnvdsRxFRSrq1StGOM,metal,"['pagan', 'swedish', 'viking', 'autonomous', 'old', 'metal', 'black']",0.232,0.931,9.0,-8.804,1.0,0.0808,0.00413,0.7559999999999999,0.0927,0.0371,122.684,516267.0,4.0
Ye Entrancemperium,7HmGwZ0HvZIsB90wt3AuDE,Emperor,6jPWrSmxOd9mj7Xaj4EP2Y,metal,"['symphonic', 'metal', 'norwegian', 'black', 'technical']",0.141,0.938,0.0,-4.221,1.0,0.065,7.68e-05,0.879,0.434,0.0359,139.186,314907.0,5.0
The Fifth Illusion,1DLxHchZ0ZEKZTGXpcTcth,Rotting Christ,7FhkwcO8Jd7BRWdllBpXBJ,metal,"['symphonic', 'greek', 'metal', 'melodic', 'gothic', 'black']",0.48,0.983,1.0,-6.398,0.0,0.0563,0.00747,0.887,0.0879,0.34700000000000003,141.131,334840.0,4.0
Pillars Of Mercy,0nv2fQCtxDqIJuPTKynKy8,Absu,3eVkhnD2UKVjX5uiUsqfXP,metal,"['pagan', 'dark', 'black', 'usbm', 'death', 'technical']",0.269,0.993,8.0,-6.664,1.0,0.0866,0.00134,0.393,0.129,0.161,145.99,261693.0,4.0
Salomon's Gate,6BcdUH19ScZk69Sj4oXArV,Beherit,3EHztVB0kFpqp0N8MlmD1X,metal,"['finnish', 'war', 'black']",0.215,0.805,6.0,-12.757,0.0,0.134,0.00129,0.916,0.256,0.355,131.363,219693.0,4.0
Svart Industriell Olycka,4eDKFcJDDoUcUYlK2cdemJ,Shining,7wqTItc5qEyIwWw5ksN1Ya,metal,"['swedish', 'depressive', 'black']",0.274,0.924,9.0,-8.275,0.0,0.0783,7.53e-06,0.8009999999999999,0.16699999999999998,0.0397,63.665,485880.0,3.0
Slaughterday (The Heathen Blood Of Ours),1YIQen5eaBq0x0qvN4bKm7,Blut Aus Nord,0c0xIXQhCbmtvzM93liaSf,metal,"['french', 'post-doom', 'cosmic', 'voidgaze', 'atmospheric', 'post-metal', 'blackgaze', 'black', 'avant-garde', 'drone']",0.205,0.911,2.0,-5.846,1.0,0.17,0.000572,0.8490000000000001,0.107,0.0297,150.658,407107.0,4.0
Withstand The Fall Of Time,5nCnSnLtotQ8eB4E189U91,Immortal,2mVTkiwfm4ic6DnHpmFq8K,metal,"['pagan', 'symphonic', 'metal', 'norwegian', 'black']",0.159,0.964,4.0,-4.452,0.0,0.0871,1.11e-06,0.302,0.0819,0.0567,133.026,509640.0,4.0
Scars In The Landscape Of God,6gmMDrXjVOLZJXCxKdBl3w,Abigor,3YQNyPeDonpYjB9N92VclR,metal,"['symphonic', 'voidgaze', 'dark', 'technical', 'black', 'avant-garde', 'austrian']",0.133,0.996,0.0,-6.82,1.0,0.128,0.000402,0.899,0.3670000000000001,0.0307,92.627,373907.0,4.0
Fucking Your Ghost In Chains of Ice,5maiXlxUmXjlKqqqpJbctD,Leviathan,6CJU2RwwB10D0KoYYqWYeM,metal,"['voidgaze', 'autonomous', 'depressive', 'black', 'usbm', 'atmospheric', 'drone']",0.0986,0.861,7.0,-6.351,1.0,0.0705,2.55e-06,0.934,0.672,0.13699999999999998,158.39700000000005,340467.0,4.0
Agnus Dei,0fGhJvH67AJzNbdmDI0VDc,Funeral Mist,2HDKz66BGq7RI2wEoMgPcv,metal,"['swedish', 'voidgaze', 'chaotic', 'dark', 'black', 'voidgrind']",0.147,0.996,11.0,-7.822999999999999,0.0,0.4,0.000182,0.894,0.444,0.0295,94.036,273027.0,4.0
In the Shadow of the Horns,3OJNfu0G5Ooab1ZlNCdQyb,Darkthrone,7kWnE981vITXDnAD2cZmCV,metal,"['norwegian', 'black', 'metal', 'blackened']",0.14300000000000002,0.999,11.0,-5.345,1.0,0.131,3.95e-06,0.00593,0.155,0.035,143.543,421680.0,4.0
Night of the Blasphemy,0Du2TTeycur8h9H8WrEXmi,Behexen,2A56suoU3YFYLIp7wHde6c,metal,"['pagan', 'voidgaze', 'autonomous', 'dark', 'black', 'finnish']",0.18,0.931,4.0,-5.606,0.0,0.0942,1.47e-06,0.872,0.484,0.0368,100.394,285000.0,4.0
Frozen,11Vs5xEJo83ER1lA1ENODr,Dissection,6qpmcQfxhmNxNMCJUrpHwe,metal,"['swedish', 'metal', 'melodic', 'black', 'death', 'gothenburg']",0.273,0.991,4.0,-3.548,0.0,0.165,0.000136,0.6509999999999999,0.147,0.106,108.884,208000.0,4.0
Kill for Satan,6iaN2Q0DOxOIAPPrI3R3KZ,Tsjuder,0sD9rwKo3qPBs32gi97FNn,metal,"['pagan', 'dark', 'metal', 'norwegian', 'black']",0.175,0.979,2.0,-5.339,1.0,0.0985,1.8e-05,0.873,0.324,0.076,101.456,294893.0,3.0
Bergtatt-Ind I Fjeldkamrene,0i1xhn4lNnR2G3hUwybhW7,Ulver,6bYFkBNvayh3nGqxcPp7Sv,metal,"['norwegian', 'post-metal', 'black', 'downtempo']",0.184,0.8590000000000001,9.0,-7.657999999999999,0.0,0.12,0.00131,0.947,0.13,0.0673,147.961,486480.0,4.0
Open the Gates,0LsNJ1h4WWX8T9wZJW9u8l,Dark Funeral,21ojeH5LNADIGzJKc3hIlE,metal,"['swedish', 'dark', 'black', 'metal']",0.069,0.98,0.0,-7.627999999999999,1.0,0.128,5.9e-06,0.3,0.3,0.0388,196.167,274093.0,4.0
I Am The Black Wizards,2956v4MaiU78SkPpeTXxhq,Emperor,6jPWrSmxOd9mj7Xaj4EP2Y,metal,"['symphonic', 'metal', 'norwegian', 'black', 'technical']",0.146,0.947,0.0,-5.707999999999998,1.0,0.0838,7.68e-05,0.905,0.185,0.0891,104.353,360840.0,4.0
Hordalands Doedskvad part I,1iOCpO6tlqnrgMOG9epX8z,Taake,2CofVEvqc6hhyKwYsLiuN9,metal,"['pagan', 'voidgaze', 'dark', 'metal', 'norwegian', 'black']",0.124,0.907,0.0,-5.272,1.0,0.0637,0.000189,0.823,0.396,0.132,150.937,463080.0,4.0
It's Darker Than You Think,24rgd0Ex8aBpmctVJHbJSF,Carpathian Forest,0sFntmE9T1tiF6G6O6Lm3H,metal,"['pagan', 'symphonic', 'dark', 'metal', 'norwegian', 'black']",0.185,0.921,4.0,-6.627999999999999,0.0,0.0893,2.87e-05,0.626,0.136,0.0996,164.916,281733.0,4.0
I Am Abomination,1SBGE2wrNmiwHnnLSAiegd,1349,150xbiJGnTy1tSBZ9EFKnT,metal,"['dark', 'metal', 'norwegian', 'black', 'death', 'technical']",0.17600000000000002,0.963,10.0,-4.817,0.0,0.154,2.97e-06,0.775,0.194,0.0512,123.779,250507.0,4.0
Devil's Blood,3YW1hcnwzRIjwBfXuxl99Q,Watain,4OpHsZuhfJMU9PZ3zkyUQX,metal,"['swedish', 'dark', 'black', 'metal']",0.163,0.969,6.0,-3.602,0.0,0.0775,1.03e-06,0.0236,0.0485,0.071,111.807,354333.0,4.0
Begravelsesnatt,4449HGJgrbopjejsn2gFMd,Gorgoroth,1Dt7cfRzxM8qPVa82jX9y5,metal,"['tolkien', 'norwegian', 'black', 'metal']",0.17,0.98,7.0,-12.697,1.0,0.0652,2.48e-06,0.852,0.515,0.0504,144.475,153240.0,4.0
Miami Supercops,7rrIaFaaKxEEnzb4rWv6cl,Gama Bomb,7h0muodpQ1q5o3RajwownN,metal,"['thrash', 'new', 'speed', 'irish', 'crossover']",0.569,0.985,1.0,-4.407,0.0,0.217,0.0006389999999999999,0.24,0.374,0.215,102.48,197826.0,4.0
Bleed the Crown,7v3AunDgAY2f3Ldmf7ZTIg,Angelus Apatrida,3bnPBquC93vbHmamojAf59,metal,"['spanish', 'latin', 'thrash', 'new']",0.527,0.983,1.0,-4.31,1.0,0.11,0.000153,0.158,0.275,0.449,94.995,266347.0,4.0
Glock 'n' Roll,4Uc5URdSRMGfPLBRWg5lY0,Sodom,6SYbLA9utoNsllunR1TnkM,metal,"['deathrash', 'thrash', 'hard', 'german', 'old', 'speed', 'metal', 'crossover', 'black', 'death']",0.443,0.991,7.0,-5.792000000000002,1.0,0.121,7.19e-06,0.219,0.738,0.0654,102.478,302267.0,4.0
Empire of the Blind,0we8Go5TEj33hcYSzZ4ZnQ,Heathen,3VD3oXiELCSHXzR4XXnlaF,metal,"['thrash', 'old', 'speed', 'metal', 'death', 'technical']",0.474,0.974,7.0,-3.715,0.0,0.0688,2.26e-06,0.0177,0.499,0.227,105.018,351613.0,4.0
Perpetual Chaos,5Qk5KU60bM84nUt7kyyMPG,Nervosa,5D9d9xyLNQu32QVD9t4YqH,metal,"['mexican', 'brazilian', 'slayer']",0.494,0.878,7.0,-8.676,1.0,0.0429,8.76e-06,0.00914,0.112,0.256,119.995,219243.0,4.0
Friendly Fire,0k2A0pdiTyiGoO60sRU1Zp,Sodom,6SYbLA9utoNsllunR1TnkM,metal,"['deathrash', 'thrash', 'hard', 'german', 'old', 'speed', 'metal', 'crossover', 'black', 'death']",0.431,0.992,7.0,-5.391,1.0,0.0655,3.45e-05,0.512,0.403,0.111,95.06,216787.0,4.0
Lords of the Hellfire Club,7qpBjLP9myvl8rrXzNDDu2,Gama Bomb,7h0muodpQ1q5o3RajwownN,metal,"['thrash', 'new', 'speed', 'irish', 'crossover']",0.5760000000000001,0.974,6.0,-4.244,0.0,0.12,0.00127,0.00434,0.116,0.343,106.472,151935.0,4.0
Into the Fray,5qsvdGQmUYMSWvJXGNc7VR,Warfect,7CMDtotOom4MIRumUnpzzL,metal,['new'],0.301,0.923,8.0,-11.316,1.0,0.109,0.000225,0.29,0.183,0.297,144.721,312187.0,4.0
Detritus of the Final Age,5nNBwrfNYeA9beWYXkIUkD,Harlott,55P952flfiJs68ellyqFHU,metal,"['australian', 'new']",0.28300000000000003,0.949,8.0,-5.636,1.0,0.107,1.7899999999999998e-05,0.0176,0.271,0.107,102.783,294240.0,3.0
Guided by Evil,2oYcHQKLshff65muWC7lUt,Nervosa,5D9d9xyLNQu32QVD9t4YqH,metal,"['mexican', 'brazilian', 'slayer']",0.512,0.948,1.0,-7.5870000000000015,1.0,0.0412,2.8000000000000006e-05,0.018000000000000002,0.342,0.134,100.043,210047.0,4.0
Sheer Khan,7qlkGiHmqF9VyFiIKlJVRt,Gama Bomb,7h0muodpQ1q5o3RajwownN,metal,"['thrash', 'new', 'speed', 'irish', 'crossover']",0.337,0.984,9.0,-4.136,1.0,0.234,0.0006940000000000001,0.0034,0.366,0.0884,104.977,278287.0,4.0
Beyond the Convent Walls,7zVIIZOOoO6keBdfKL8WGH,Hellripper,6FfZaHz07OsknWNdtdan5R,metal,"['nwothm', 'black', 'new']",0.213,0.997,1.0,-2.812,1.0,0.254,0.000205,0.000857,0.0648,0.0375,97.048,269487.0,4.0
Indoctrination,5rJglpSmC76KMRYiFZUKwo,Sodom,6SYbLA9utoNsllunR1TnkM,metal,"['deathrash', 'thrash', 'hard', 'german', 'old', 'speed', 'metal', 'crossover', 'black', 'death']",0.448,0.967,10.0,-6.563,0.0,0.0527,1.7899999999999998e-05,0.355,0.31,0.494,99.977,190773.0,4.0
Left to Rot,7DvxyQrH2AoV4h8OoiTCDV,Warfect,7CMDtotOom4MIRumUnpzzL,metal,['new'],0.445,0.8590000000000001,2.0,-11.34,1.0,0.0481,0.00111,0.135,0.182,0.617,168.044,367957.0,4.0
The Affair of the Poisons,2az8J0QlRLJXCTrXedgsCi,Hellripper,6FfZaHz07OsknWNdtdan5R,metal,"['nwothm', 'black', 'new']",0.149,0.997,1.0,-2.349,0.0,0.16,0.00194,0.000945,0.0732,0.0954,91.447,295507.0,4.0
As We Breach,5yttcK85rYSClFzPC9v1N7,Harlott,55P952flfiJs68ellyqFHU,metal,"['australian', 'new']",0.34,0.951,8.0,-5.376,1.0,0.114,5.99e-05,0.00864,0.298,0.122,100.093,292147.0,4.0
Sodom & Gomorrah,3uPYITcnVb9RZ7d8aKMV3r,Sodom,6SYbLA9utoNsllunR1TnkM,metal,"['deathrash', 'thrash', 'hard', 'german', 'old', 'speed', 'metal', 'crossover', 'black', 'death']",0.26,0.997,7.0,-5.629,1.0,0.108,0.000104,0.33,0.338,0.0352,174.952,246227.0,4.0
Sea Savage,3Gwcz0OK7mFE87P7CjVG0W,Gama Bomb,7h0muodpQ1q5o3RajwownN,metal,"['thrash', 'new', 'speed', 'irish', 'crossover']",0.42,0.968,4.0,-4.482,0.0,0.229,0.00162,0.0718,0.147,0.227,199.772,237514.0,4.0
Picking up My Pieces,1colYbdMWdJtPG7oXwt6FW,Chronosphere,3EVFxCTRDkx8Y4LWmIrhl5,metal,"['greek', 'new']",0.462,0.991,2.0,-3.338,1.0,0.17800000000000002,3.44e-06,0.8740000000000001,0.0782,0.122,99.948,263200.0,4.0
Divine Apprehension,430VZGvjBfWzjVf0vZkbb8,Power Trip,3TmaQHOfq1olDKHtE38zYT,metal,"['crossover', 'texas', 'new']",0.168,0.979,9.0,-3.963,0.0,0.184,8.44e-06,0.204,0.0644,0.153,169.925,257695.0,4.0
Strike Fast Strike Hard,5mo4VR1zQNyBZrlmUmPmLM,Onslaught,71lhIVHJ24x9hEcwFSWuOf,metal,"['thrash', 'old', 'speed', 'metal', 'crossover', 'death']",0.469,0.98,0.0,-6.039,0.0,0.0749,3.19e-06,0.0793,0.29,0.511,105.004,278400.0,4.0
heavy negative wizard metal in-fucking-excelsis,1mR4HtzupjzkES0jMITFO2,Rebel Wizard,3pQxKUXay8JVWWB4ri4Onv,metal,['australian'],0.304,0.979,2.0,-3.768,1.0,0.12,9.92e-06,0.953,0.368,0.0379,139.985,127857.0,4.0
Nightmare Logic,127fndSSTEZrx2TV8cd3jM,Power Trip,3TmaQHOfq1olDKHtE38zYT,metal,"['crossover', 'texas', 'new']",0.227,0.992,11.0,-3.312,1.0,0.114,0.000182,0.637,0.483,0.204,193.941,261709.0,4.0
Bow Down To the Clowns,5kpeEEIRD13CzU8ZSTdJPy,Onslaught,71lhIVHJ24x9hEcwFSWuOf,metal,"['thrash', 'old', 'speed', 'metal', 'crossover', 'death']",0.426,0.95,1.0,-7.524,1.0,0.1,1.34e-05,0.131,0.78,0.261,93.997,290600.0,4.0
Revenge,7A684V9moIA8g5GDgrKdAY,Wargasm,4heY3O8p8CQHH81wINvExe,metal,"['old', 'new', 'boston']",0.365,0.984,6.0,-7.617000000000001,0.0,0.0631,0.0105,0.405,0.0631,0.343,105.138,425120.0,4.0
Loss of Humanity,38K2DlgRYQ9dOTutG9vwIZ,EXA,1h7Hmq4S3N6KmKYhCs4J6P,metal,"['german', 'new']",0.28600000000000003,0.977,11.0,-4.432,1.0,0.303,0.000991,0.0689,0.396,0.123,195.004,291500.0,3.0
Lonesome Rider - Live,5GcPOTBIWfAhpt2xxttP5P,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,metal,"['danish', 'alternative']",0.264,0.98,0.0,-4.815,0.0,0.0901,0.00384,7.48e-05,0.983,0.315,113.531,262413.0,4.0
Bow Down - Live from Grand Rapids / 2019,4QZEauXm6L9eCAvbc1fOVz,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,metal,"['nu-metalcore', 'modern']",0.309,0.962,0.0,-4.641,0.0,0.147,0.00121,2.35e-06,0.443,0.154,154.967,291960.0,4.0
Gasoline - Live from Download Australia / 2019,3aVJdAt6j7YTHD6E0FCbP2,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,metal,"['nu-metalcore', 'modern']",0.446,0.969,1.0,-4.84,1.0,0.226,0.00808,0.0,0.969,0.332,135.14600000000002,166653.0,4.0
Keep the Flame Burning - Live,5dxjT2P4FX8Cl3wej9udc3,HammerFall,2o18h28enlHxj887tATc58,metal,"['neo', 'power', 'swedish', 'hard', 'symphonic', 'metal', 'melodic', 'gothenburg']",0.385,0.964,8.0,-6.7620000000000005,1.0,0.0962,3.75e-05,6.440000000000001e-05,0.745,0.152,144.0,310936.0,4.0
Iron Tusk - Live,6Adb3qxgJgwCmtLd2ABIZp,Mastodon,1Dvfqq39HxvCJ3GvfeIFuT,metal,"['hard', 'sludge', 'progressive', 'metal', 'alternative', 'atlanta', 'stoner', 'nu', 'rock']",0.153,0.955,5.0,-6.089,1.0,0.102,4.61e-06,0.112,0.327,0.407,68.862,168947.0,4.0
"Teacher, Teacher!",7D0dUTKPQOwv5d59sUg6B2,Jinjer,7o6cOczXTB8ioTAAJTbESf,metal,['slayer'],0.261,0.98,2.0,-4.544,0.0,0.188,9.23e-05,0.0104,0.721,0.174,104.318,356750.0,3.0
Blood & Thunder - Live,5EqIkSeK0KQYnYUkvPpa1t,Mastodon,1Dvfqq39HxvCJ3GvfeIFuT,metal,"['hard', 'sludge', 'progressive', 'metal', 'alternative', 'atlanta', 'stoner', 'nu', 'rock']",0.271,0.958,7.0,-5.934,1.0,0.0883,1.17e-05,0.478,0.921,0.374,95.019,232536.0,4.0
Moth Into Flame - Live,6jV9oF4qM6s508keoLXZfX,Metallica,2ye2Wgw4gimLv2eAKyk1NB,metal,"['thrash', 'hard', 'old', 'metal', 'rock']",0.324,0.943,8.0,-8.036,1.0,0.067,1.59e-05,0.0115,0.775,0.209,93.584,377800.0,4.0
Spoonman - Live From The Artists Den,0Tl9v458i4pvw5QyfI9zL1,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,metal,"['grunge', 'hard', 'alternative', 'modern', 'blues', 'nu', 'rock']",0.406,0.875,7.0,-10.07,1.0,0.045,0.00398,0.0761,0.931,0.534,99.968,233835.0,4.0
Down with the Sickness - Live,2ieMTkzxy2BM0Uz1MKbOOu,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,metal,"['rap', 'alternative', 'nu']",0.539,0.921,5.0,-4.84,0.0,0.0814,0.000272,0.0005070000000000001,0.755,0.5870000000000001,89.96799999999998,283559.0,4.0
Nothing Else Matters - Live,77yTLA5l4FQwJjWg6BTwuL,Metallica,2ye2Wgw4gimLv2eAKyk1NB,metal,"['thrash', 'hard', 'old', 'metal', 'rock']",0.274,0.648,3.0,-8.703,0.0,0.0349,0.0123,0.00152,0.977,0.0907,75.465,399600.0,3.0
Push It - Live,79w2F7WVqlyzFAe6G09iAH,Static-X,7JDSHlDdVTo7aZKdQZ53Vf,metal,"['rap', 'alternative', 'industrial', 'nu', 'groove']",0.531,0.868,0.0,-6.585,1.0,0.0463,1.74e-05,0.00304,0.966,0.429,150.119,162787.0,4.0
Sanctified with Dynamite - Live,04TNzm0i0qG7ttD0STEDEk,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,metal,"['german', 'power', 'metal']",0.271,0.879,6.0,-5.564,0.0,0.0847,0.00112,6.53e-05,0.901,0.279,85.22399999999998,375705.0,4.0
The Attack of the Dead Men - Live In Moscow,3369M8iINeSHtzblni1S0u,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,metal,"['power', 'swedish', 'metal']",0.455,0.947,7.0,-7.949,0.0,0.0777,0.00126,0.00954,0.956,0.105,115.972,273960.0,4.0
Lullaby - Live,0qTW3vjYVpK45nW1Zi7IfX,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,metal,"['rock', 'modern']",0.17600000000000002,0.963,1.0,-7.749,0.0,0.253,0.000654,0.0324,0.949,0.1,183.481,278813.0,3.0
We Are the Others,0yos6NHIt5CrjrCC71MDjh,Delain,6pIRdCtSE5hLFfIfcTAicI,metal,"['power', 'symphonic', 'slayer', 'melodic', 'gothic', 'dutch']",0.251,0.828,4.0,-7.4460000000000015,1.0,0.0629,0.00206,0.0016699999999999998,0.835,0.182,143.767,431040.0,4.0
Hammer Smashed Face,3uWh9MUpPfTBb6bPR4IgXi,Cannibal Corpse,0yLwGBQiBqhXOvmTfH2A7n,metal,"['metal', 'death', 'buffalo', 'brutal']",0.25,0.996,3.0,-5.994,0.0,0.218,0.000106,0.24,0.657,0.0351,105.76,285960.0,4.0
Left Hand Path,4VW0TucKdIuN7A4wHCAXcc,Entombed,2pnezMcaiTHfGmgmGQjLsB,metal,"['swedish', 'metal', 'alternative', 'doom', 'black', 'death']",0.195,0.933,7.0,-8.7,1.0,0.0801,9.46e-06,0.804,0.8590000000000001,0.13,120.102,452400.0,4.0
Black Metal - Live,7rrBfk8eHEoz26dLXa1NHx,Venom,5fwaejlOHVBAw1KhIPPaQe,metal,"['thrash', 'hard', 'old', 'speed', 'metal', 'british', 'black', 'rock', 'death', 'nwobhm']",0.128,0.945,7.0,-10.612,1.0,0.0549,2.9e-05,0.0996,0.88,0.0725,95.277,211533.0,4.0
Paranoid - Live,6BnJWV7mFjZoZR8JPl1ybE,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,metal,"['hard', 'classic', 'uk', 'metal', 'stoner', 'birmingham', 'rock', 'album']",0.224,0.913,10.0,-6.489,1.0,0.0577,1.42e-05,0.6779999999999999,0.623,0.289,78.765,286360.0,4.0
Windowpane,4uJSCrI7r0usNJ3aaHAuC6,Opeth,0ybFZ2Ab08V8hueghSXm6E,metal,"['swedish', 'progressive', 'metal', 'alternative', 'rock']",0.328,0.5529999999999999,6.0,-6.252000000000002,1.0,0.0267,0.156,0.412,0.0985,0.322,159.959,464280.0,4.0
Trains,5lBQ3mnWsYIt5aCdgz1U9n,Porcupine Tree,5NXHXK6hOCotCF8lvGM1I0,metal,"['progressive', 'art', 'symphonic', 'alternative']",0.456,0.7759999999999999,9.0,-6.999,0.0,0.0348,0.0423,0.00975,0.14800000000000002,0.223,174.261,358600.0,4.0
New Day,6P4WmJdBBGGVU6ECetd1Ej,Karnivool,6rX8AFY10dsJkJsv23Z9Um,metal,"['djent', 'progressive', 'australian', 'alternative']",0.468,0.569,6.0,-7.134,0.0,0.0399,0.00549,0.0042,0.245,0.289,173.982,500760.0,3.0
Harmony Korine,4qGpycLh5QWK8PJT1mPD2z,Steven Wilson,4X42BfuhWCAZ2swiVze9O0,metal,"['progressive', 'art', 'symphonic', 'alternative']",0.451,0.597,4.0,-10.669,0.0,0.0285,0.00187,0.585,0.0704,0.109,140.047,308500.0,4.0
...And Justice For All,0eXz8pS25MoeUguNPR9VvD,Metallica,2ye2Wgw4gimLv2eAKyk1NB,metal,"['thrash', 'hard', 'old', 'metal', 'rock']",0.547,0.799,9.0,-7.47,1.0,0.128,0.000105,0.0955,0.0612,0.409,86.634,586507.0,4.0
Eyes Of A Stranger - Remastered 2003,43GalYZWoUi9cciYdv0Bej,Queensrÿche,2OgUPVlWYgGBGMefZgGvCO,metal,"['glam', 'us', 'hard', 'progressive', 'metal', 'rock', 'album']",0.486,0.973,9.0,-2.984,1.0,0.0937,0.0366,4.2700000000000015e-05,0.337,0.101,105.041,413733.0,4.0
Gutter Ballet,5LKm2vMBOtKq12C0padpN2,Savatage,3N1B1g6JtIgd6ClRkzD4yT,metal,"['neo', 'power', 'us', 'hard', 'progressive', 'metal', 'rock', 'album']",0.324,0.69,0.0,-10.533,1.0,0.0459,0.207,0.123,0.145,0.188,101.207,380360.0,4.0
The Sorceress,2AcjErRmC3r25PjGkw0ll4,Fates Warning,4S6URhg3PMKnCv9clR4ejE,metal,"['neo', 'power', 'us', 'progressive', 'metal', 'neo-progressive']",0.232,0.905,9.0,-7.581,1.0,0.0499,0.00304,0.8390000000000001,0.0973,0.232,165.80200000000005,343560.0,4.0
Set the World on Fire (The Lie of Lies),6OZ6pBvrfCb6tRu6h2rzfG,Symphony X,4MnZkh4dpNmTMPxkl4Ev5L,metal,"['neo', 'progressive', 'power', 'metal']",0.39,0.962,9.0,-5.0139999999999985,1.0,0.0928,0.000362,5.16e-05,0.17600000000000002,0.379,168.102,355053.0,4.0
Day Sixteen: Loser,37jhj84PxOoOIf9aZFOjbp,Ayreon,2RSApl0SXcVT8Yiy4UaPSt,metal,"['neo', 'power', 'sci-fi', 'symphonic', 'prog', 'celtic', 'progressive', 'metal', 'dutch']",0.479,0.73,11.0,-9.424,1.0,0.0352,0.00617,6.900000000000002e-06,0.563,0.244,94.501,286373.0,4.0
Sober,6DyywdbmTzlmXBzG9ym7Rt,TOOL,2yEwvVSSSUkcLeSTNyHKh8,metal,"['progressive', 'alternative', 'nu', 'rock', 'art']",0.385,0.6729999999999999,2.0,-8.182,1.0,0.0329,0.000183,0.149,0.0721,0.187,149.27100000000004,306853.0,4.0
Alpha,2zoICUGYIpTLcgl47nhcfo,Periphery,6d24kC5fxHFOSEAmjQPPhc,metal,"['djent', 'melodic', 'progressive']",0.398,0.971,9.0,-4.526,1.0,0.213,2.04e-05,4.31e-05,0.229,0.251,82.516,330748.0,4.0
Paradise Lost,22sEfJxatkWlGVsqWKhtvY,Symphony X,4MnZkh4dpNmTMPxkl4Ev5L,metal,"['neo', 'progressive', 'power', 'metal']",0.439,0.8009999999999999,0.0,-5.415,1.0,0.0342,0.00584,0.0,0.317,0.297,146.00799999999995,392467.0,3.0
L'enfant sauvage,4PWxt9Fy949kUtkEi2GI5V,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,metal,"['french', 'progressive', 'metal', 'alternative', 'nu']",0.14300000000000002,0.995,8.0,-5.698,1.0,0.185,0.000146,0.438,0.364,0.079,87.803,257733.0,3.0
Comatose,0HTQtARn5UftPeRb68SLiR,Ayreon,2RSApl0SXcVT8Yiy4UaPSt,metal,"['neo', 'power', 'sci-fi', 'symphonic', 'prog', 'celtic', 'progressive', 'metal', 'dutch']",0.326,0.442,9.0,-14.63,1.0,0.0815,0.245,0.539,0.111,0.209,98.975,266653.0,5.0
