song,song_id,artist,artist_id,category,genres,audio_ft_danceability,audio_ft_energy,audio_ft_key,audio_ft_loudness,audio_ft_mode,audio_ft_speechiness,audio_ft_acousticness,audio_ft_instrumentalness,audio_ft_liveness,audio_ft_valence,audio_ft_tempo,audio_ft_duration_ms,audio_ft_time_signature
My Head & My Heart,1KixkQVDUHggZMU9dUobgm,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,pop,"['dance', 'pop']",0.614,0.934,9.0,-3.709,0.0,0.07,0.0697,0.0,0.121,0.436,116.001,174760.0,4.0
Fly Away,1jgu8MFTEGdL1wjw9gZj5y,Tones And I,2NjfBq1NflQcKSeiDooVjY,pop,['australian'],0.805,0.515,4.0,-6.2010000000000005,1.0,0.0915,0.223,0.0,0.238,0.488,124.969,178157.0,4.0
Plastic Hearts,6qCsKKS7Ol63SJW3LOIX5R,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,pop,"['dance', 'pop', 'post-teen']",0.551,0.7559999999999999,2.0,-4.948,1.0,0.0652,0.0511,0.0,0.0765,0.618,175.984,205733.0,4.0
Holding On,6CN7FuZ7o1xle9TNxApGeQ,iann dior,6ASri4ePR7RlsvIQgWPJpS,pop,"['melodic', 'pop']",0.706,0.76,8.0,-4.702,1.0,0.0369,0.0599,1.46e-06,0.202,0.564,95.499,126444.0,4.0
GIRL LIKE ME,2vBET2pmrQqafaS6zIaYta,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,pop,"['dance', 'pop']",0.964,0.486,2.0,-8.891,1.0,0.188,0.0194,0.04,0.0694,0.318,124.058,220659.0,4.0
Fuck Up the Friendship,1ddKUwm3UuvcMWLLAgOIcX,Leah Kate,6oWOHAOyBUn6aJlKIPJK9r,pop,[],0.745,0.736,1.0,-5.257999999999999,0.0,0.29,0.142,1.1e-05,0.11,0.77,104.008,172758.0,4.0
Teach Me How To Love,5LZtB6nxvjIhUoElp3Zqk0,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,"['pop', 'viral', 'canadian', 'post-teen', 'dance']",0.5920000000000001,0.885,9.0,-4.944,0.0,0.0807,0.0505,2.38e-06,0.0843,0.731,98.991,202357.0,4.0
gold rush,5BK0uqwY9DNfZ630STAEaq,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,"['dance', 'pop']",0.512,0.462,9.0,-10.491,1.0,0.0408,0.83,0.166,0.121,0.353,112.05,185320.0,4.0
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,pop,"['pop', 'electropop']",0.889,0.34,11.0,-7.773,0.0,0.0697,0.218,0.13,0.055,0.716,94.009,174321.0,4.0
Walked Through Hell,6c7N5N7amAOpeMykjlovjI,Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,pop,"['indie', 'pop']",0.508,0.404,10.0,-11.092,1.0,0.0788,0.664,0.0,0.104,0.129,81.71300000000002,216865.0,4.0
Bang!,53BHUFdQphHiZUUG3nx9zn,AJR,6s22t5Y3prQHyaHWUN1R1C,pop,['modern'],0.74,0.516,1.0,-6.233,0.0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858.0,4.0
FOOL'S GOLD,1ryUAnJ3gPNtw85hwiVA7Z,Aries,3hOdow4ZPmrby7Q1wfPLEy,pop,"['pop', 'emo', 'sad']",0.662,0.525,6.0,-8.546,0.0,0.0341,0.281,0.0,0.199,0.5770000000000001,133.937,149843.0,4.0
HOLIDAY,6zFMeegAMYQo0mt8rXtrli,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,pop,"['queer', 'lgbtq+', 'pop', 'country']",0.81,0.511,5.0,-6.924,0.0,0.16399999999999998,0.12,0.0,0.0832,0.8370000000000001,151.947,154998.0,4.0
Fever,3wJVBz7gvGTwTWVAxFa6ny,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,pop,"['dance', 'pop', 'uk']",0.868,0.693,6.0,-7.0520000000000005,0.0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911.0,4.0
I Just Wanna (feat. Bow Anderson),1cVQmBnSLjhWB67iqAXYZZ,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,pop,"['pop', 'tropical', 'german', 'edm', 'dance', 'electro']",0.696,0.7240000000000001,11.0,-7.082999999999998,1.0,0.0421,0.18,8.690000000000001e-05,0.251,0.568,117.998,159657.0,4.0
Errbody,6eVxH9Kyanzrw636zJRPcw,Lil Baby,5f7VJjfbwm532GiveGC0ZK,pop,"['trap', 'rap', 'atl']",0.887,0.606,2.0,-6.572,1.0,0.324,0.000407,0.0,0.151,0.272,139.995,210699.0,4.0
Dancing in My Room,7CCCX50zGHMTuHsyKQy03l,347aidan,0bBz5bRBkExaej2HxtVfCw,pop,['sad'],0.979,0.41,8.0,-11.056,0.0,0.112,0.6579999999999999,3.4200000000000005e-05,0.205,0.74,119.971,180122.0,4.0
Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,MEDUZA,0xRXCcSX89eobfrshSVdyu,pop,"['edm', 'electro', 'pop', 'tropical']",0.632,0.595,8.0,-7.644,0.0,0.0401,0.0689,0.0,0.209,0.435,124.114,167903.0,4.0
Love Not War (The Tampa Beat),4Lt6GXGzYsa1tgkv3nGSTm,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,pop,"['dance', 'pop', 'post-teen']",0.738,0.85,8.0,-3.049,1.0,0.0642,0.105,0.0,0.23,0.865,98.013,192921.0,4.0
LUCID,5DVATjQZPVsm5kWbrPmekU,Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5,pop,"['pop', 'escape', 'dance', 'art', 'electropop']",0.672,0.895,8.0,-2.8360000000000003,1.0,0.0469,0.0145,0.000968,0.175,0.412,125.983,218108.0,4.0
Is It Just Me? (feat. Charlie Puth),5tqNWWiySiABLrGAvSWsO5,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,pop,"['indie', 'pop', 'electropop', 'post-teen']",0.682,0.363,2.0,-10.837,1.0,0.0261,0.6990000000000001,3e-05,0.363,0.203,94.978,154275.0,4.0
Perfectly Imperfect,4Qxb1DGnSq7Nl1pDeWw6LT,Declan J Donovan,6bh228LGC3eAzbplPWV02r,pop,"['indie', 'uk']",0.698,0.3670000000000001,2.0,-5.811,1.0,0.0329,0.649,0.0,0.119,0.246,104.853,204309.0,3.0
Drugs,06ioYJ99HHjzRk8HrGfkKS,UPSAHL,1294QqYm1VuxxjRiL9M0h9,pop,['modern'],0.883,0.415,6.0,-8.571,0.0,0.174,0.35,0.0,0.063,0.318,76.986,155867.0,4.0
Better Days (feat. Justin Timberlake),25yS1e5PLLhEGEaKnsfY6S,Ant Clemons,028lPW2NdWHdSPCkRkcyhd,pop,"['indie', 'alternative']",0.46,0.453,5.0,-6.714,0.0,0.0331,0.579,0.0,0.119,0.498,143.35,198600.0,3.0
Purple Hat,0bGH7ezs7WdDwpqnsvGf1z,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,pop,['pop'],0.777,0.7440000000000001,9.0,-7.42,1.0,0.204,0.331,0.0073,0.08800000000000001,0.654,94.019,178369.0,4.0
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",6FuGJB290AQMAHTfjOYVaK,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,pop,['cali'],0.721,0.745,7.0,-3.508,0.0,0.0366,0.151,1.24e-06,0.3720000000000001,0.6990000000000001,90.988,192745.0,4.0
Donuts (feat. Yung Bae),2xubfBD4QUOmcMUq1EZz6h,kenzie,5pWUVnrc1y0FpWZ6VCy0Hg,pop,['social'],0.6629999999999999,0.818,9.0,-5.529,0.0,0.0715,0.0798,0.0,0.289,0.88,108.01,215710.0,4.0
Dress,1JA0tPLWaGL7wuHcPcgT9T,Charlotte Sands,2cAXhrWAztXGwk6r15ibW2,pop,['indie'],0.8059999999999999,0.441,5.0,-9.599,1.0,0.197,0.0277,0.0,0.453,0.804,114.927,143500.0,4.0
Running Up That Hill,18yegkWg1YLPFCgif8XfaE,Georgia,06knYh538h5SI7OAEF8ek3,pop,"['electropop', 'uk']",0.627,0.8059999999999999,1.0,-6.153,0.0,0.0379,0.0586,0.0504,0.556,0.413,114.022,188694.0,4.0
Heart Of Glass (Live from the iHeart Festival),5i7ThJfYLAzp2DyZuFpF6j,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,pop,"['dance', 'pop', 'post-teen']",0.58,0.908,4.0,-5.303,1.0,0.0341,0.000335,4.84e-05,0.087,0.4270000000000001,115.016,213672.0,4.0
Toxic,6I9VzXrHxO9rA9A5euc8Ak,Britney Spears,26dSoYclwsYLMAKD3tpOr4,pop,"['dance', 'pop', 'post-teen']",0.774,0.838,5.0,-3.914,0.0,0.114,0.0249,0.025,0.242,0.924,143.04,198800.0,4.0
Revolving (feat. Marc E. Bassy),2bo4n2JP6aPLAvEO1Yie1B,Yung Bae,30FDJPN3RtwJZ20g5YGCRX,pop,['future'],0.535,0.735,0.0,-5.405,1.0,0.0648,0.00691,0.0,0.113,0.362,105.09,174882.0,4.0
WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,Cardi B,4kYSro6naA4h99UJvo89HB,pop,"['dance', 'pop', 'rap']",0.935,0.454,1.0,-7.508999999999999,1.0,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,187541.0,4.0
First Time,4L4lClgi5m2Itz6Fgt750F,Daya,6Dd3NScHWwnW6obMFbl1BH,pop,"['pop', 'tropical', 'viral', 'indie', 'edm', 'post-teen', 'dance', 'electropop']",0.552,0.628,0.0,-6.897,1.0,0.292,0.701,1.9e-05,0.399,0.672,101.928,146910.0,4.0
Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,pop,"['dance', 'pop', 'post-teen']",0.705,0.8140000000000001,4.0,-5.466,0.0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279.0,4.0
FEEL SOMETHING DIFFERENT,5Q4UX8hxcaJEtAE9RtsmSY,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,pop,"['pop', 'viral', 'talent', 'post-teen', 'dance', 'electropop']",0.78,0.7140000000000001,0.0,-4.716,1.0,0.0943,0.121,1.34e-05,0.244,0.373,124.999,207328.0,4.0
Hell and High Water (feat. Alessia Cara),5C2ry6OWozoqrEDyBz7MOX,Major Lazer,738wLrAtLtCtFOLvQBXOXp,pop,"['moombahton', 'pop', 'edm', 'dance', 'electro']",0.474,0.772,5.0,-5.925,0.0,0.26,0.368,3.32e-06,0.183,0.4270000000000001,169.893,145412.0,4.0
Affection,6XTpwvfm4jwnhhdGhClVRh,Fiji Blue,1e7K8jD3wRuQfnwDAOeGqe,pop,"['indie', 'chill']",0.8270000000000001,0.49,10.0,-8.37,0.0,0.055,0.321,0.00013700000000000002,0.095,0.836,113.002,174211.0,4.0
Crush,7jHMDHHLkFQxWnKTYq7Aan,Glades,14rP13jdQNgQvuPA2AkBgm,pop,"['indie', 'metropopolis', 'electropop', 'vapor']",0.753,0.479,9.0,-5.083,0.0,0.0742,0.127,3.39e-06,0.149,0.644,107.0,193657.0,4.0
Lifetime,6UcQPAH459nMfAXAvV9Udc,Romy,3X2DdnmoANw8Rg8luHyZQb,pop,[],0.55,0.7909999999999999,6.0,-5.542999999999998,1.0,0.0494,4.44e-05,1.02e-06,0.103,0.321,128.034,197661.0,4.0
Your Man,6Vgtvd7I5yopJdBuxqjBd2,Joji,3MZsBdqDrRTJihTHQrO6Dq,pop,"['viral', 'alternative']",0.785,0.818,7.0,-8.711,1.0,0.099,0.624,0.149,0.149,0.0503,117.98,163759.0,4.0
Looking For Me,5dvGLnXYsBUQLAmJHBYgrN,Paul Woolford,4CA8PTrbq1l5IgyvBA2JSV,pop,"['house', 'uk', 'pop', 'deep']",0.6409999999999999,0.529,6.0,-11.536,1.0,0.0288,0.00441,0.0008619999999999999,0.0809,0.449,121.027,211452.0,4.0
Good Enough,0cFvdXOqN4drzStfQZyrTP,Carlie Hanson,3mPc8WGusz2XF3Tvs3AKCR,pop,"['pop', 'indie', 'social', 'post-teen', 'dance', 'electropop']",0.532,0.675,8.0,-6.238,1.0,0.0378,0.0991,0.0,0.0975,0.308,78.03,216153.0,4.0
Ready For You,0SyyLzNHa2bp8OQXYqFgpw,Black Coffee,6wMr4zKPrrR0UVz08WtUWc,pop,"['afro', 'south', 'deep']",0.648,0.672,5.0,-9.322,1.0,0.0411,0.232,0.113,0.1,0.17800000000000002,99.992,268886.0,4.0
Feel It,1L11Wk1tb47KpN0acMiqSn,Georgia,06knYh538h5SI7OAEF8ek3,pop,"['electropop', 'uk']",0.708,0.655,1.0,-7.664,1.0,0.0381,0.000904,0.112,0.119,0.496,106.983,166500.0,4.0
