,count,mean,std,min,25%,50%,75%,max,range
first_quartile,2067.0,69.1693275278181,38.3620643892362,25.0,47.0,62.0,79.0,486.0,461.0
second_quartile,2120.0,73.97264150943396,44.358009881904486,25.0,49.0,63.0,82.0,503.0,478.0
third_quartile,1699.0,82.72042377869334,52.92153781292282,25.0,52.5,68.0,92.0,544.0,519.0
fourth_quartile,2145.0,82.7020979020979,47.98817601841481,25.0,55.0,70.0,92.0,539.0,514.0
