,count,mean,std,min,25%,50%,75%,max,range
first_quartile,2067.0,154.47218190614416,78.39166549450714,26.0,102.0,141.0,189.0,694.0,668.0
second_quartile,1949.0,161.59312467932273,85.96124057292984,36.0,105.0,142.0,193.0,823.0,787.0
third_quartile,1870.0,191.38342245989304,104.52628006504197,32.0,125.0,169.0,223.0,832.0,800.0
fourth_quartile,2145.0,205.6913752913753,97.98779072790867,33.0,143.0,185.0,239.0,909.0,876.0
